"Date",High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz),
"00:00:00 30-Mar-2018",54978.66,54810.33,54959.49,,1710.03,1704.79,1709.43,
"00:00:00 20-Mar-2018",56298.42,54726.07,54916.87,,1751.08,1702.17,1708.11,
"00:00:00 10-Mar-2018",55593.28,54260.19,55402.83,,1729.14,1687.68,1723.22,
"00:00:00 28-Feb-2018",55788.82,53838.06,54515.25,,1735.23,1674.55,1695.61,
"00:00:00 18-Feb-2018",54566.85,53866.65,54101.84,,1697.22,1675.44,1682.76,
"00:00:00 08-Feb-2018",54667.88,52922.63,54396.32,,1700.36,1646.08,1691.91,
"00:00:00 29-Jan-2018",54323.76,52864.28,53286.10,,1689.66,1644.26,1657.38,
"00:00:00 19-Jan-2018",54030.56,52948.61,53472.41,,1680.54,1646.89,1663.18,
"00:00:00 09-Jan-2018",53796.43,52396.57,52990.80,,1673.26,1629.72,1648.20,
"00:00:00 30-Dec-2017",53274.38,52306.26,52617.36,,1657.02,1626.91,1636.58,
"00:00:00 20-Dec-2017",52727.81,51727.43,52693.94,,1640.02,1608.90,1638.96,
"00:00:00 10-Dec-2017",52379.81,51200.52,52256.93,,1629.19,1592.51,1625.37,
"00:00:00 30-Nov-2017",53177.97,51332.16,51572.02,,1654.02,1596.61,1604.07,
"00:00:00 20-Nov-2017",53483.41,52444.27,53115.55,,1663.52,1631.20,1652.08,
"00:00:00 10-Nov-2017",53216.95,51954.32,53215.95,,1655.23,1615.96,1655.20,
"00:00:00 31-Oct-2017",53039.46,51991.41,52427.13,,1649.71,1617.11,1630.67,
"00:00:00 21-Oct-2017",52729.42,51715.15,52672.67,,1640.07,1608.52,1638.30,
"00:00:00 11-Oct-2017",52656.09,51192.50,51882.02,,1637.79,1592.26,1613.71,
"00:00:00 01-Oct-2017",51988.89,50934.52,51885.15,,1617.04,1584.24,1613.81,
"00:00:00 21-Sep-2017",52227.11,51014.81,51312.13,,1624.44,1586.74,1595.99,
"00:00:00 11-Sep-2017",52315.38,51327.03,51548.55,,1627.19,1596.45,1603.34,
"00:00:00 01-Sep-2017",53505.87,52154.01,52280.91,,1664.22,1622.17,1626.12,
"00:00:00 22-Aug-2017",53273.84,51578.92,52998.58,,1657.00,1604.28,1648.44,
"00:00:00 12-Aug-2017",52785.95,51861.39,52163.71,,1641.83,1613.07,1622.47,
"00:00:00 02-Aug-2017",52782.71,50904.73,52557.76,,1641.73,1583.31,1634.73,
"00:00:00 23-Jul-2017",51322.24,50063.87,51150.18,,1596.30,1557.16,1590.95,
"00:00:00 13-Jul-2017",50654.45,49748.97,50598.49,,1575.53,1547.37,1573.79,
"00:00:00 03-Jul-2017",51822.73,49730.19,49976.35,,1611.87,1546.78,1554.44,
"00:00:00 23-Jun-2017",53801.95,51714.25,51805.99,,1673.43,1608.49,1611.35,
"00:00:00 13-Jun-2017",54340.64,52819.29,53238.64,,1690.18,1642.86,1655.91,
"00:00:00 03-Jun-2017",56170.49,54148.35,54148.87,,1747.10,1684.20,1684.22,
"00:00:00 24-May-2017",55556.55,54030.43,55470.93,,1728.00,1680.53,1725.34,
"00:00:00 14-May-2017",55507.77,53879.57,54390.49,,1726.48,1675.84,1691.73,
"00:00:00 04-May-2017",54774.91,53497.33,54150.05,,1703.69,1663.95,1684.25,
"00:00:00 24-Apr-2017",55811.37,54563.30,54652.98,,1735.93,1697.11,1699.90,
"00:00:00 14-Apr-2017",55967.05,54871.33,55244.87,,1740.77,1706.69,1718.31,
"00:00:00 04-Apr-2017",55216.30,53581.15,55216.30,,1717.42,1666.56,1717.42,
"00:00:00 25-Mar-2017",54326.99,53010.21,54039.21,,1689.76,1648.80,1680.81,
"00:00:00 15-Mar-2017",53875.08,51811.03,53422.07,,1675.70,1611.50,1661.61,
"00:00:00 05-Mar-2017",53239.50,51754.83,51991.92,,1655.93,1609.76,1617.13,
"00:00:00 23-Feb-2017",53693.51,52225.43,53093.04,,1670.05,1624.39,1651.38,
"00:00:00 13-Feb-2017",52672.69,51271.59,52355.52,,1638.30,1594.72,1628.44,
"00:00:00 03-Feb-2017",52613.69,50767.90,51891.05,,1636.47,1579.06,1613.99,
"00:00:00 24-Jan-2017",51894.62,49802.76,50885.02,,1614.10,1549.04,1582.70,
"00:00:00 14-Jan-2017",52116.09,50494.09,51820.81,,1620.99,1570.54,1611.81,
