Date,Open,High,Low,Close,Adj Close,Volume,Date,normalized TSX
2013-04-01,12751.59961,12751.59961,12685.5,12695.09961,12695.09961,101529800,2013-04-01,0.145229437
2013-04-02,12680,12718.29981,12672.09961,12682.09961,12682.09961,150446000,2013-04-02,0.216449298
2013-04-03,12678.90039,12688.59961,12390.79981,12422.09961,12422.09961,225505300,2013-04-03,0.105103508
2013-04-04,12404.79981,12422.09961,12338.29981,12363.09961,12363.09961,179001400,2013-04-04,0.295941074
2013-04-05,12293.7002,12363,12244.2002,12331.90039,12331.90039,186500800,2013-04-05,0.73821835
2013-04-08,12325.09961,12352,12290.29981,12344.59961,12344.59961,131839800,2013-04-08,0.880058872
2013-04-09,12369.79981,12498,12344.79981,12484.09961,12484.09961,170729600,2013-04-09,0.909266493
2013-04-10,12503.09961,12555.7002,12485.7002,12534.90039,12534.90039,195269900,2013-04-10,0.702859943
2013-04-11,12523.40039,12534.90039,12458.59961,12481.40039,12481.40039,139521300,2013-04-11,0.298827632
2013-04-12,12404.7002,12481.40039,12300,12337.59961,12337.59961,177977300,2013-04-12,0.207274134
2013-04-15,12184.09961,12335.90039,11998,12004.90039,12004.90039,302809200,2013-04-15,0.020421376
2013-04-16,12061.2002,12124.79981,12002.5,12119.90039,12119.90039,181110900,2013-04-16,0.959939315
2013-04-17,12086,12116.09961,11916.59961,11947.29981,11947.29981,230908000,2013-04-17,0.153885694
2013-04-18,12024.2002,12036.5,11918.90039,11996.29981,11996.29981,194536900,2013-04-18,0.658160471
2013-04-19,11987.40039,12067.09961,11987.2002,12065.59961,12065.59961,156909300,2013-04-19,0.981226395
2013-04-22,12117.79981,12122.90039,12026.90039,12090.7002,12090.7002,131464000,2013-04-22,0.664581292
2013-04-23,12097.5,12127.09961,12031.59961,12090.90039,12090.90039,97387700,2013-04-23,0.620950597
2013-04-24,12127.7002,12271.29981,12090.90039,12270.40039,12270.40039,182003600,2013-04-24,0.995014319
2013-04-25,12308.59961,12370.7002,12270.40039,12329.5,12329.5,222015900,2013-04-25,0.589229556
2013-04-26,12306.09961,12329.5,12181.2002,12220.2002,12220.2002,148578300,2013-04-26,0.262980791
2013-04-29,12283.29981,12322.90039,12220.2002,12312.7002,12312.7002,123655900,2013-04-29,0.900679878
2013-04-30,12310.7002,12460.5,12244.2002,12456.5,12456.5,215982800,2013-04-30,0.981507149
2013-05-01,12408,12454.90039,12285.09961,12321.29981,12321.29981,209323700,2013-05-01,0.213192163
2013-05-02,12326.40039,12415.79981,12276,12379.59961,12379.59961,177845700,2013-05-02,0.741056892
2013-05-03,12459.90039,12533.79981,12381.29981,12438,12438,158236800,2013-05-03,0.371804557
2013-05-06,12480.2002,12505.40039,12440.79981,12453.90039,12453.90039,1430000,2013-05-06,0.202793609
2013-05-07,12443,12489.79981,12416.29981,12464.09961,12464.09961,1862400,2013-05-07,0.650337469
