Date,Open,High,Low,Close,Adj Close,Volume
2018-03-07,15487.200195,15611.900391,15471.599609,15472.599609,15472.599609,183071700
2018-03-08,15511.099609,15552.700195,15477.799805,15538.700195,15538.700195,173265200
2018-03-09,15581.000000,15598.799805,15503.000000,15577.799805,15577.799805,163811300
2018-03-12,15579.599609,15628.099609,15549.000000,15604.799805,15604.799805,152231100
2018-03-13,15661.500000,15709.400391,15628.799805,15647.099609,15647.099609,158921500
2018-03-14,15696.599609,15712.599609,15619.700195,15653.599609,15653.599609,167702100
2018-03-15,15687.900391,15735.299805,15642.400391,15670.599609,15670.599609,186611800
2018-03-16,15694.299805,15791.200195,15694.299805,15711.299805,15711.299805,478268800
2018-03-19,15693.099609,15693.099609,15540.900391,15589.400391,15589.400391,175993800
2018-03-20,15608.799805,15642.500000,15593.099609,15616.400391,15616.400391,215898400
2018-03-21,15593.900391,15741.500000,15580.599609,15675.299805,15675.299805,261388100
2018-03-22,15563.500000,15570.900391,15387.099609,15399.900391,15399.900391,230352600
2018-03-23,15415.400391,15455.599609,15203.900391,15223.700195,15223.700195,213911900
2018-03-26,15334.200195,15356.900391,15211.400391,15298.599609,15298.599609,213984100
2018-03-27,15307.799805,15367.500000,15171.799805,15216.200195,15216.200195,212058200
2018-03-28,15198.700195,15232.000000,15150.500000,15169.900391,15169.900391,214705000
2018-03-29,15224.299805,15390.799805,15204.000000,15367.299805,15367.299805,227294100
2018-04-02,15351.200195,15351.200195,15157.299805,15213.500000,15213.500000,166742600
2018-04-03,15215.099609,15228.000000,15104.200195,15180.799805,15180.799805,199121700
2018-04-04,15050.900391,15180.099609,14991.200195,15164.400391,15164.400391,227789600
2018-04-05,15194.599609,15371.400391,15187.200195,15356.099609,15356.099609,214608900
2018-04-06,15294.839844,15367.110352,15160.580078,15207.410156,15207.410156,206667149
